ID,CALL,CN,TYPE
06DD9B95,D-4711,701,Libelle-Std
06DDAD38,D-3397,BE,LS-4W
06DDACCD,D-2977,AX,LS-1d
06DDB004,D-9687,TA,LS-1f
06DD8569,D-1791,PF,LS-4
06DF08B2,D-0787,XN,LS-1d
06DD831B,D-2648,NO,ASW-19
06DDAD38,D-3397,BE,LS-4
06DD9E9D,D-0578,N4,LS-4

