ID,CALL,CN,TYPE
06DD9E29,D-7831,OK,LS-8
06DDD7EC,D-5463,BI,LS-8
06DF0E1F,D-KAIM,IM,
06DF0DC5,D-KGMF,MF,ASH-25E
06DF02EB,D-XXXX,HW,LS-8
06DF0DAD,D-KVLB,LB,Ventus-cT17
06DDF059,D-4717,ZW,ASW-27B
06DDDCC8,D-KDPZ,PZ,Ventus-c17
06DDAEF0,D-6814,P9,LS-8
06DDA5AA,D-9041,YD,DuoDiscus
06DF0845,D-3021,5K,LS-7WL
06DDED0E,D-XXXX,ZK,LS-8
