ID,CALL,CN,TYPE
06DD99B4,D-6718,TW,LS-8-18
06DF0226,,LE,Ventus-2cxR
06DD821C,D-3959,PC,ASH-25
06DDDF14,D-KPGV,RG,DG-808C
06DDAAA3,D-KYLO,LO,Ventus-2cM
86DD99B4,D-6718,TW,LS-8-18
86DF0226,,LE,Ventus-2cxR
86DD821C,D-3959,PC,ASH-25
86DDDF14,D-KPGV,RG,DG-808C
86DDAAA3,D-KYLO,LO,Ventus-2cM

