ID,CALL,CN,TYPE
06DDDDDD,D-0804,ALS,DG-1000
06DDE9C4,D-KLBD,BD,ArcusM
06DDFE79,D-KPGC,BT,DuoDiscus
06DDDDDD,D-KIEL,CP,DuDiscusT
06DDDEDB,D-KHAI,E2,DuoDicusXLT
06DDDDDD,D-KKFS,KK,DuoDiscusT
06DF0922,D-KMEX,MR,ArcusM
06DDDDDD,D-KUAX,Q2,DG-1001M
053E6C07,D-KGCL,Q3,S-10-VT
06DDDDDD,D-2249,RR,DuoDiscus
06DDBC9C,D-KAOB,S,DuoDiscusXLT
06DD9E73,D-2056,S1,JanusCE
06DDDDDD,D-KBST,ST,DuoDiscusXLT
06DF0F30,D-KTTK,WK,ArcusM
